Business Name,Phone,Email,Owner,Score,Reviews,Website,Demo URL,Outreach Subject,Status
East Austin Dental,(512) 499-0067,eastaustindental@gmail.com,,82,91,http://www.eastaustindental.com/,https://demo-east-austin-dental-uxzwngek-bbm5f58s2-manaal6s-projects.vercel.app,Enhance East Austin Dental's Patient Experience with AI,needs_review
Manos De Cristo Dental Center,(512) 477-2319,jballesteros@manosdecristo.org,,77,46,http://www.manosdecristo.org/,https://demo-manos-de-cristo-dental-center-d7mccdky-7wzo2gma0.vercel.app,Boost First Impressions at Manos De Cristo Dental Center,needs_review
"Austin Dental Center, PC",(512) 233-6645,info@smileaustin.com,,72,151,https://www.smileaustin.com/,https://demo-austin-dental-center-pc-rjiv3hju-ekiqabsid.vercel.app,"Boost Patient Satisfaction at Austin Dental Center, PC",needs_review
The Dental Centre,(512) 892-7800,care@dentalcentreaustin.com,,72,294,https://www.dentalcentreaustin.com/,https://demo-the-dental-centre-w1iebooe-i1ndvpo9t-manaal6s-projects.vercel.app,Boost Patient Satisfaction at The Dental Centre with AI-Powered Support,needs_review
Austin Emergency Dental,(737) 747-4646,admin@emergencydentalaustin.com,,70,747,https://emergencydentalaustin.com/,https://demo-austin-emergency-dental-vrpwody4-2ytew4b3o.vercel.app,Boost Patient Satisfaction at Austin Emergency Dental,needs_review
Emergency Dentist of Austin,(512) 961-6200,info@emergencydentistofaustin.com,,70,1452,https://emergencydentistofaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://demo-emergency-dentist-of-austin-dhsschhk-kibwa66ag.vercel.app,Boost Patient Satisfaction with Automated Welcomes,needs_review
Austin Dental Works,(512) 877-9822,info@austindentalworks.com,,70,626,https://www.austindentalworks.com/,https://demo-austin-dental-works-s0rvjv3y-paewcq21f-manaal6s-projects.vercel.app,Boost Patient Loyalty with AI-Powered Reception,needs_review
myDental at Tech Ridge,(512) 815-2524,,,70,1487,https://www.mydental.com/locations/tech-ridge/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://demo-mydental-at-tech-ridge-ovqgega0-8pmrhskpy.vercel.app,Boost Patient Satisfaction at myDental at Tech Ridge,needs_review
Austin City Dental,(512) 451-8256,info@austincitydental.com,,70,656,http://www.austincitydental.com/,,Streamline Patient Onboarding at Austin City Dental,needs_review
Austin Primary Dental,(512) 808-5651,,,0,365,https://austinprimarydental.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,,,no_outreach
Swish Dental Downtown,(512) 713-1099,,,0,932,https://www.swishsmiles.com/location/downtown,,,no_outreach
